Species	W3D2	W3D2	W8D3	W8D4	W8D7	W9D1	W9D3
Aerococcus christensenii	0	0	2	2	0	3	1
Aerococcus viridans	0	0	0	0	0	0	0
Atopobium vaginae	0	0	3	3	3	3	3
Bifidobacterium bifidum	0	0	0	0	0	0	0
Bifidobacterium breve	0	0	0	0	0	0	0
Bifidobacterium longum	0	0	0	0	0	0	0
Enterococcus faecalis	0	0	0	0	0	0	0
Finegoldia magna	0	0	0	0	0	0	0
Fusobacterium nucleatum	0	0	0	0	0	0	0
Gardnerella vaginalis	0	0	3	1	3	1	0
Lactobacillus crispatus	2	2	2	2	2	3	3
Lactobacillus gasseri	0	0	0	0	1	3	3
Lactobacillus iners	2	0	3	3	3	3	3
Lactobacillus jensenii	3	3	1	1	3	1	3
Lactobacillus salivarius	0	0	0	0	0	0	0
Lactobacillus vaginalis	2	2	0	0	0	0	0
Mobiluncus curtisii	0	0	0	0	0	0	0
Mobiluncus mulieris	0	0	1	0	3	3	2
Mycoplasma hominis	0	0	0	0	0	0	0
Parvimonas micra	0	0	3	3	3	3	3
Peptoniphilus asaccharolyticus	0	0	1	1	1	1	1
Peptostreptococcus anaerobius	0	0	3	3	0	0	0
Prevotella bivia	0	0	3	3	1	3	1
Prevotella disiens	0	0	0	0	0	0	0
Prevotella melaninogenica	0	0	0	0	0	0	0
Pseudomonas aeruginosa	0	0	0	0	0	0	0
Sneathia sanguinegens	0	0	3	3	3	3	1
Staphylococcus aureus	0	0	0	0	0	0	0
Staphylococcus epidermidis	0	0	0	0	0	0	0
Streptococcus agalactiae	0	0	0	0	0	1	0
Streptococcus anginosus	0	0	0	0	0	0	1
Streptococcus mitis	0	0	0	0	0	0	0
Streptococcus salivarius	0	0	0	0	0	0	0
Ureaplasma urealyticum	0	0	0	0	0	0	0
Varibaculum cambriense	0	0	0	0	0	0	0
Veillonella parvula	0	0	0	0	0	0	0
